Timestamp:, sensor 1 , , , , , , sensor 2 , , , , , , body 1, , , , , , , body 2, , , , , , , body 3, , , , , , , body 4, , , , , , , body 5, , , , , , , body 6, , , , , , 
0.0166667, 3.06482,-3.67154,-21.322,0.8632,-0.120825,0.092258,-4.75353,-3.71044,-16.4174,0.631657,-0.00713758,0.0368846,0.0595543,1.05366,0.144865,0.976105,0.0172306,0.216597,0.00274729,-0.0207045,0.801842,0.4549,0.877579,0.158678,0.0341664,0.451119,0.180252,0.790468,0.383032,0.771429,0.357151,-0.0168172,0.526363,-0.0249384,1.1415,0.374336,0.923487,-0.0420169,0.333969,0.18404,0.289686,0.81789,0.373413,0.986305,-0.0133053,0.0886024,-0.138474,0.398031,0.665278,0.187502,0.988763,-0.0126128,-0.138249,0.0554568,
0.0333333, 3.00203,-3.51654,-21.1045,0.826385,-0.0995472,0.090205,-4.67035,-3.73794,-16.4201,0.641398,-0.00204549,0.0355501,0.0591088,1.05326,0.144918,0.977584,0.0227763,0.209263,0.00446885,-0.0189738,0.801733,0.454892,0.876531,0.158727,0.0341316,0.453138,0.182201,0.791242,0.383218,0.770048,0.357221,-0.0176884,0.528305,-0.0240914,1.1412,0.374145,0.925145,-0.0446782,0.330472,0.181381,0.291487,0.819352,0.373222,0.98704,-0.0117409,0.0872915,-0.134142,0.400341,0.667717,0.187114,0.989003,-0.0129379,-0.13501,0.0589803,
0.0583333, 3.01758,-3.35303,-20.9372,0.771569,-0.0678052,0.082611,-4.54358,-3.9873,-16.4095,0.663359,-0.000187768,0.0295637,0.0595606,1.05341,0.144902,0.977457,0.0233216,0.209815,0.00326665,-0.016635,0.801463,0.454762,0.874681,0.157735,0.0338628,0.457063,0.184838,0.792662,0.383498,0.768175,0.356613,-0.0160419,0.531486,-0.0241965,1.1413,0.374548,0.923046,-0.0404138,0.334193,0.186196,0.294106,0.821979,0.373302,0.98758,-0.0142328,0.0892881,-0.128491,0.403751,0.67124,0.186648,0.988885,-0.01202,-0.133258,0.0648364,
0.0833333, 3.15394,-3.38565,-20.8273,0.735532,-0.024683,0.0670412,-4.76403,-3.97973,-16.4784,0.684624,-0.00873401,0.0293188,0.0604856,1.05378,0.144725,0.975598,0.0196201,0.218679,0.00145299,-0.0137274,0.801206,0.454204,0.871744,0.158033,0.0319748,0.462673,0.187451,0.793787,0.383689,0.76391,0.357386,-0.0173651,0.537042,-0.0227055,1.14089,0.374648,0.92286,-0.043666,0.335601,0.183831,0.296706,0.82407,0.373446,0.988162,-0.012806,0.0904547,-0.123246,0.407083,0.67443,0.186268,0.988807,-0.0115042,-0.132304,0.0679956,
0.1, 3.3907,-3.25021,-20.8202,0.730675,0.0101625,0.0678516,-4.9831,-3.88477,-16.4948,0.710655,-0.0115349,0.0263586,0.0607054,1.05376,0.144609,0.975276,0.0203839,0.220046,0.000871472,-0.0125999,0.801058,0.454132,0.872101,0.156067,0.0308981,0.46274,0.1895,0.794979,0.384049,0.761775,0.357668,-0.0247149,0.539595,-0.0218073,1.14061,0.374653,0.923536,-0.0422471,0.335048,0.181767,0.298548,0.826033,0.373942,0.988535,-0.0142411,0.0909758,-0.119662,0.409077,0.676552,0.186171,0.988572,-0.0105716,-0.132575,0.0709694,
0.125, 3.62268,-2.97842,-20.8401,0.736164,0.0510156,0.0881131,-5.22847,-3.73538,-16.5426,0.730352,-0.0107323,0.0267159,0.0604559,1.05326,0.144493,0.976718,0.0267266,0.212852,0.000967245,-0.0105585,0.800853,0.453677,0.871102,0.156093,0.0278912,0.464799,0.191849,0.795764,0.384524,0.761322,0.356577,-0.018023,0.541218,-0.0206971,1.14043,0.375007,0.921711,-0.0415368,0.339871,0.18224,0.301188,0.8277,0.374345,0.988874,-0.0111604,0.0917293,-0.116573,0.412158,0.67966,0.186095,0.988643,-0.00890982,-0.130541,0.0739311,
0.133333, 3.75746,-3.0514,-20.604,0.743667,0.0942616,0.112038,-5.51124,-3.57757,-16.7811,0.736196,-0.016724,0.0285,0.0606689,1.05331,0.144468,0.976587,0.0274924,0.21336,5.32801e-05,-0.00969554,0.80069,0.453573,0.87066,0.155632,0.0257533,0.465904,0.192716,0.795971,0.384504,0.759319,0.35727,-0.0218951,0.543428,-0.0197682,1.14031,0.374747,0.923696,-0.0436355,0.336467,0.177963,0.301989,0.828218,0.374687,0.988924,-0.0122754,0.0920272,-0.115802,0.413154,0.680723,0.1861,0.988546,-0.00713203,-0.129875,0.076537,
0.158333, 3.98923,-3.25388,-20.7752,0.732022,0.161217,0.132535,-5.84359,-3.46992,-17.0542,0.735737,-0.0304792,0.0260458,0.0617417,1.05372,0.144328,0.975175,0.024375,0.220081,-0.00218696,-0.00768527,0.800375,0.453131,0.869108,0.155637,0.0241117,0.468879,0.195173,0.797354,0.384929,0.756433,0.360308,-0.021698,0.545452,-0.0196305,1.14041,0.375165,0.919427,-0.0388442,0.346262,0.182342,0.304362,0.830152,0.375348,0.989086,-0.0126935,0.0934949,-0.113163,0.416093,0.683701,0.186307,0.988782,-0.00662308,-0.128107,0.0765207,
0.183333, 3.97591,-3.6845,-20.8179,0.722503,0.220916,0.149946,-5.99479,-3.47513,-17.4013,0.73794,-0.0319809,0.0201594,0.0617508,1.05344,0.144168,0.976173,0.0298615,0.214926,-0.00104562,-0.00518573,0.800102,0.452463,0.865906,0.156496,0.0222081,0.474576,0.197559,0.798644,0.385535,0.754398,0.361588,-0.0245338,0.547299,-0.0185852,1.14031,0.375404,0.918959,-0.0385161,0.347839,0.181768,0.306798,0.83205,0.376099,0.98946,-0.00948406,0.0936604,-0.110035,0.418878,0.686693,0.186525,0.988766,-0.00491819,-0.127171,0.0783968,
0.2, 3.97451,-4.0351,-20.9147,0.684619,0.304057,0.160199,-6.18319,-3.54071,-17.7559,0.744321,-0.0386355,0.0172062,0.0620801,1.05348,0.144068,0.976105,0.0305721,0.215132,-0.00166811,-0.00432998,0.800166,0.452804,0.866856,0.153978,0.0242867,0.473563,0.19895,0.799396,0.385839,0.752988,0.362025,-0.025262,0.548916,-0.0174501,1.13982,0.375382,0.919579,-0.0409082,0.348647,0.176483,0.308255,0.833565,0.376659,0.989893,-0.00838718,0.0925223,-0.107155,0.420754,0.688706,0.186776,0.98851,-0.00447746,-0.128042,0.0802043,
