Timestamp:, sensor 1 , , , , , , sensor 2 , , , , , , body 1, , , , , , , body 2, , , , , , , body 3, , , , , , , body 4, , , , , , , body 5, , , , , , , body 6, , , , , , 
0.0166667, -0.900527,2.23091,22.5146,-0.842982,0.119381,-0.140805,-1.41128,-3.16588,0.499125,0.128929,-0.0901754,0.132426,0.0814037,1.03527,0.110812,0.942866,0.0548573,0.321513,-0.0679966,0.111761,1.12771,0.34131,0.924589,0.167193,0.195084,-0.281292,0.165833,0.777097,0.412364,0.764136,0.091932,0.520383,-0.369928,0.305264,0.776571,0.220065,0.812755,0.386046,0.346426,-0.265305,0.371795,0.805833,0.129336,0.765062,0.616209,-0.0748795,0.171347,0.35323,0.662147,-0.0887896,0.972189,0.00370365,0.234116,-0.00497632,
0.0416667, -1.04001,2.17052,22.5834,-0.841203,0.115589,-0.137114,-1.41386,-3.16629,0.562163,0.131985,-0.0891256,0.130493,0.0811831,1.03537,0.111132,0.944183,0.0562569,0.317466,-0.067596,0.111966,1.12738,0.341384,0.924984,0.167086,0.192085,-0.282118,0.165569,0.776688,0.411933,0.764386,0.0929525,0.520509,-0.368976,0.305237,0.776466,0.219907,0.812728,0.385867,0.346706,-0.265282,0.37173,0.805549,0.129197,0.765936,0.614654,-0.0759979,0.172534,0.353411,0.661966,-0.088843,0.972194,0.00177643,0.234094,-0.0060042,
0.0583333, -1.05119,2.15097,22.4521,-0.840839,0.113788,-0.133741,-1.37631,-3.15643,0.640347,0.132773,-0.0881499,0.127689,0.0812151,1.03546,0.111192,0.944239,0.0564126,0.317201,-0.067932,0.111864,1.12735,0.341599,0.924913,0.168051,0.193108,-0.281075,0.165373,0.776493,0.411757,0.764428,0.0933423,0.520594,-0.368674,0.305139,0.776393,0.219769,0.812772,0.386339,0.346386,-0.264879,0.371769,0.805485,0.129314,0.765876,0.614608,-0.0762965,0.172829,0.353499,0.661898,-0.0888792,0.972237,0.0018877,0.23392,-0.0058536,
0.0833333, -1.05413,2.16358,22.4753,-0.841299,0.115219,-0.132855,-1.3326,-3.16342,0.634252,0.133182,-0.087692,0.124448,0.0813429,1.03554,0.111254,0.94429,0.0567499,0.316863,-0.0685096,0.11184,1.12712,0.34168,0.924791,0.168827,0.192466,-0.281455,0.165103,0.776187,0.411469,0.76476,0.094246,0.52025,-0.368239,0.304998,0.776303,0.219675,0.812666,0.386742,0.346291,-0.264739,0.371768,0.805462,0.129189,0.765991,0.613957,-0.0773904,0.174139,0.353608,0.661817,-0.088907,0.972294,0.00215898,0.233686,-0.00560693,
0.1, -1.06098,2.11817,22.6329,-0.845138,0.117093,-0.132129,-1.28032,-3.14739,0.623337,0.131263,-0.0868267,0.120554,0.0813945,1.0355,0.111268,0.944246,0.0571207,0.316889,-0.0686863,0.111459,1.12715,0.341928,0.924361,0.170336,0.194794,-0.280352,0.164939,0.775966,0.411318,0.764817,0.0948023,0.520255,-0.367972,0.30489,0.776105,0.21954,0.81266,0.387445,0.34577,-0.26441,0.371852,0.805532,0.129072,0.764648,0.615665,-0.0756755,0.174767,0.353651,0.661782,-0.0888936,0.972326,0.00197743,0.233556,-0.00555884,
0.116667, -1.02709,2.17204,22.561,-0.845909,0.117172,-0.133397,-1.24587,-3.13717,0.543655,0.128554,-0.0868188,0.116617,0.081435,1.03546,0.111246,0.944179,0.0574952,0.316957,-0.0689817,0.111675,1.12737,0.341879,0.923396,0.174482,0.196828,-0.279561,0.164736,0.775744,0.411194,0.76489,0.0952494,0.520041,-0.368006,0.304819,0.776006,0.219536,0.81254,0.387661,0.346166,-0.263944,0.371643,0.805498,0.129271,0.765304,0.615055,-0.0761554,0.173833,0.353648,0.661749,-0.0888688,0.972336,0.00177415,0.233512,-0.0056189,
0.133333, -1.06276,2.12791,22.5797,-0.843326,0.115327,-0.133138,-1.21912,-3.13075,0.466149,0.124063,-0.0878695,0.114111,0.0814723,1.03542,0.111208,0.944059,0.0576629,0.317277,-0.0690153,0.112077,1.12689,0.341855,0.924455,0.169639,0.194146,-0.280915,0.164694,0.775534,0.411158,0.764873,0.0962424,0.519832,-0.368078,0.305645,0.776611,0.220005,0.811869,0.366054,0.360032,-0.277939,0.371588,0.805426,0.129177,0.765801,0.613953,-0.0771492,0.175096,0.353639,0.661777,-0.0888238,0.972333,0.00165448,0.233525,-0.00568723,
0.158333, -1.04769,2.13573,22.5808,-0.843946,0.116981,-0.134803,-1.17379,-3.12862,0.453333,0.123886,-0.0878255,0.111292,0.081555,1.03534,0.111154,0.943919,0.0579637,0.317589,-0.0692418,0.112329,1.12688,0.341741,0.924091,0.17047,0.195016,-0.281008,0.164633,0.775495,0.411326,0.764727,0.0956501,0.519798,-0.368584,0.304701,0.776026,0.219823,0.812478,0.385823,0.347379,-0.265232,0.371482,0.805417,0.129359,0.765692,0.614108,-0.0774387,0.174899,0.353586,0.661802,-0.08873,0.972354,0.00246076,0.233446,-0.0050159,
0.175, -1.01336,2.10071,22.5884,-0.840483,0.117627,-0.137642,-1.16938,-3.13646,0.466625,0.123361,-0.0878878,0.110583,0.0816104,1.03527,0.111098,0.943851,0.0580709,0.31768,-0.0696551,0.11271,1.12671,0.341568,0.924208,0.169223,0.193596,-0.282355,0.164729,0.775472,0.411438,0.764441,0.0965311,0.519681,-0.369111,0.305478,0.776522,0.220298,0.81188,0.365997,0.359741,-0.278358,0.371438,0.805391,0.129432,0.765622,0.614217,-0.0773212,0.174878,0.353534,0.66182,-0.0886889,0.972329,0.00196842,0.233553,-0.00506545,
0.191667, -0.995043,2.0895,22.6068,-0.840065,0.11776,-0.137502,-1.21185,-3.12884,0.468922,0.12338,-0.089341,0.110874,0.0815967,1.03517,0.111024,0.943889,0.0584396,0.317465,-0.069814,0.112617,1.12672,0.341557,0.923893,0.168393,0.195694,-0.282434,0.164771,0.774522,0.411712,0.763815,0.0932376,0.522598,-0.36713,0.305551,0.776481,0.220293,0.811676,0.366076,0.360443,-0.277942,0.371442,0.805395,0.129396,0.765367,0.614537,-0.0767887,0.175101,0.353457,0.661878,-0.0886743,0.972361,0.00361685,0.233414,-0.00447749,
