Timestamp:, sensor 1 , , , , , , sensor 2 , , , , , , body 1, , , , , , , body 2, , , , , , , body 3, , , , , , , body 4, , , , , , , body 5, , , , , , , body 6, , , , , , 
0.0166667, -0.0166428,-0.0104183,0.00434948,-0.000173022,0.00170396,0.000230548,-0.0215834,0.0181243,-0.149275,-0.000924871,3.17055e-05,-0.000601761,0.0911684,1.03169,0.110391,0.940363,0.0636637,0.318554,-0.100934,0.135637,1.12457,0.337161,0.870335,0.261709,0.246526,-0.336526,0.242834,0.78935,0.351705,0.772983,0.0361074,0.621839,-0.120461,0.275082,0.958021,0.192008,0.744979,0.310141,0.557258,0.195662,0.265539,1.05328,0.128278,-0.471113,-0.660988,-0.158286,-0.562222,0.303597,0.692374,-0.0359279,0.97228,0.00240801,0.233582,0.0102509,
0.0333333, -0.0241447,-0.0119092,9.83363e-05,-0.000614321,0.0019598,0.00053906,-0.0211277,0.0125516,-0.149272,-0.000672117,0.000646272,-0.000274953,0.0910689,1.03169,0.110562,0.940302,0.0637672,0.318678,-0.101043,0.135487,1.12454,0.33721,0.870357,0.261611,0.24607,-0.336881,0.24294,0.789438,0.351712,0.773094,0.0353412,0.621847,-0.11993,0.273565,0.958637,0.191989,0.749423,0.312455,0.552375,0.18873,0.264615,1.05331,0.129241,-0.469653,-0.659671,-0.159278,-0.564704,0.303677,0.692342,-0.0359548,0.97227,0.00293667,0.233611,0.0104265,
0.05, -0.0180533,-0.0133264,-8.57943e-06,-0.000541799,0.00199499,0.000659088,-0.0156701,-0.000236487,-0.123143,-0.000715623,0.000616222,-0.000902765,0.0910398,1.03166,0.110661,0.940463,0.0634752,0.318338,-0.100804,0.135236,1.12458,0.33758,0.86947,0.261184,0.247397,-0.338524,0.243042,0.789485,0.351748,0.773017,0.0347655,0.622023,-0.119681,0.274284,0.958563,0.192282,0.744851,0.307112,0.557859,0.199179,0.263905,1.05357,0.129622,-0.467759,-0.659117,-0.15986,-0.566754,0.303615,0.692349,-0.0359148,0.972207,0.00123583,0.233923,0.00960247,
0.0666667, 0.0262636,-0.004482,-0.00682216,0.00115493,0.000533387,0.000112191,-0.0204824,-0.00049586,-0.146142,-0.000942538,0.000509554,-0.000785022,0.0909836,1.03164,0.110801,0.94035,0.0634955,0.31866,-0.100833,0.135357,1.12447,0.337605,0.869294,0.262305,0.248332,-0.337424,0.243122,0.78954,0.351838,0.772798,0.0342933,0.62238,-0.11938,0.273849,0.958729,0.192481,0.745332,0.305039,0.557783,0.200773,0.262862,1.05378,0.129809,-0.463753,-0.65734,-0.159073,-0.572305,0.303671,0.692383,-0.0359057,0.972201,0.00216263,0.233915,0.0102448,
0.0916667, -0.0212746,-0.0132026,0.000208821,0.000244581,0.00260357,0.000130039,-0.0230561,0.00235073,-0.149115,-0.000928052,0.000813476,-0.000799549,0.0909175,1.03168,0.110893,0.940455,0.0636287,0.318533,-0.100165,0.135404,1.12452,0.337492,0.86995,0.261301,0.246529,-0.337835,0.243122,0.78954,0.351839,0.772798,0.0342933,0.62238,-0.11938,0.273314,0.959038,0.192588,0.746366,0.299858,0.557383,0.205785,0.261481,1.0535,0.130143,-0.458325,-0.65456,-0.161076,-0.579262,0.303632,0.692383,-0.0358877,0.972194,0.00238542,0.233925,0.0105874,
0.108333, -0.0149842,-0.0390405,-0.0025009,-0.000238245,0.00219043,-1.62014e-06,-0.0160119,-3.92459e-05,-0.149275,-0.00114798,0.000151306,-0.000955758,0.0908768,1.03175,0.110885,0.940458,0.0641612,0.318679,-0.0993267,0.135321,1.12452,0.33767,0.870512,0.262121,0.247642,-0.334926,0.243122,0.78954,0.351839,0.772798,0.0342933,0.62238,-0.11938,0.273031,0.959124,0.192621,0.746922,0.297101,0.557041,0.208672,0.260834,1.05352,0.130317,-0.455606,-0.653848,-0.163046,-0.581655,0.303408,0.692326,-0.0357839,0.973016,0.00325401,0.230523,0.00937708,
0.133333, 0.0251758,-0.00564031,0.00928282,-0.000867009,0.000820318,0.000528557,-0.0166957,-0.000260772,-0.0862195,-0.000877874,9.55358e-05,-0.000938963,0.0907877,1.03182,0.110967,0.940434,0.0645653,0.318599,-0.0995464,0.13519,1.1246,0.337823,0.869356,0.261375,0.248044,-0.338198,0.243122,0.78954,0.351839,0.772798,0.0342933,0.62238,-0.11938,0.272935,0.959065,0.192626,0.74735,0.294668,0.557247,0.210035,0.260108,1.05346,0.130367,-0.45223,-0.654452,-0.160571,-0.584292,0.303629,0.692391,-0.0360037,0.972227,0.00227962,0.233783,0.0106774,
0.158333, 0.00287103,-0.0104694,0.00713687,-0.000983153,0.00109741,0.000591368,-0.0211228,0.00414082,-0.149248,-0.000686089,-0.000199118,-0.000309445,0.0907212,1.03177,0.111018,0.940398,0.0645953,0.318662,-0.0996718,0.135388,1.1244,0.338134,0.869294,0.262879,0.247558,-0.337546,0.243942,0.789924,0.35241,0.773137,0.0303642,0.622375,-0.118263,0.271826,0.959125,0.192915,0.751772,0.293714,0.552794,0.20734,0.259797,1.05317,0.130588,-0.449483,-0.653979,-0.161311,-0.586733,0.303593,0.692348,-0.0359913,0.972264,0.00291887,0.233636,0.0103625,
0.175, -0.00788156,-0.0200521,-0.00298055,0.00103003,0.000422872,2.41596e-05,-0.0139258,0.0176402,-0.139219,-0.00139606,7.65972e-05,-9.01848e-05,0.0907294,1.03174,0.111133,0.940415,0.0651039,0.318845,-0.0985879,0.135481,1.12429,0.337722,0.87054,0.260114,0.246301,-0.337397,0.244605,0.7908,0.352975,0.770221,0.0371232,0.623801,-0.12749,0.271986,0.959086,0.192728,0.754523,0.291212,0.549686,0.209132,0.259567,1.05303,0.130332,-0.444803,-0.653347,-0.157599,-0.591989,0.303647,0.69233,-0.0359363,0.972225,0.00180966,0.233831,0.00986849,
0.2, -0.0162694,-0.0169965,-0.0660483,0.000606633,0.00127993,8.9568e-06,-0.0189607,0.0161058,-0.104256,-0.00106509,0.000527347,-0.000454228,0.0907462,1.03172,0.111271,0.940396,0.0651715,0.31873,-0.0990896,0.13551,1.12419,0.337972,0.870612,0.260043,0.246681,-0.336989,0.244012,0.790593,0.353412,0.772042,0.0300598,0.622928,-0.122508,0.271854,0.958692,0.193129,0.755024,0.288001,0.550609,0.209341,0.259378,1.05202,0.130431,-0.446226,-0.649613,-0.164531,-0.59314,0.303587,0.692337,-0.0358404,0.972295,0.00262588,0.233516,0.0102907,
