Timestamp:, sensor 1 , , , , , , sensor 2 , , , , , , body 1, , , , , , , body 2, , , , , , , body 3, , , , , , , body 4, , , , , , , body 5, , , , , , , body 6, , , , , , 
0.0333333, 0.0698763,0.703317,-1.22994,-0.0175754,0.0413756,0.0827091,2.07233,-0.453691,-4.06509,-0.0119187,0.0797703,-0.0707516,0.0712256,1.01894,0.179536,0.947967,0.0950553,0.240489,-0.185712,0.0661274,1.14909,0.421929,0.94959,0.201503,0.128341,-0.202987,0.179378,0.83282,0.462814,0.645927,-0.48268,0.485145,-0.338278,0.329096,0.788931,0.343661,0.886943,0.298466,0.281087,-0.212699,0.427991,0.791276,0.264064,0.753263,0.635705,-0.168724,-0.00243208,0.438711,0.614071,0.0311828,0.984621,0.0235243,0.167443,-0.0439463,
0.05, -0.0385253,0.672292,-1.01354,-0.0197875,0.0386096,0.0836882,2.07068,-0.433432,-3.88603,-0.0100883,0.080838,-0.0733405,0.0712468,1.01897,0.179581,0.947915,0.0952561,0.240518,-0.185833,0.0661755,1.14903,0.422037,0.949432,0.202009,0.129095,-0.202747,0.179378,0.83282,0.462814,0.645927,-0.48268,0.485145,-0.338278,0.329542,0.789769,0.34413,0.886107,0.28048,0.29233,-0.225143,0.427689,0.791056,0.264411,0.753472,0.635489,-0.16858,-0.00386756,0.438632,0.614032,0.031187,0.984679,0.0240133,0.167275,-0.0430077,
0.0666667, -0.102036,0.625452,-0.863294,-0.0178989,0.0393425,0.0838283,2.01514,-0.435285,-3.53755,-0.00349236,0.0782394,-0.0770783,0.0712354,1.01904,0.179578,0.947824,0.09555,0.240803,-0.185781,0.0662028,1.1488,0.422118,0.949086,0.201644,0.129628,-0.204381,0.179378,0.83282,0.462814,0.645927,-0.48268,0.485145,-0.338278,0.329353,0.789479,0.344581,0.885886,0.280557,0.292112,-0.226194,0.427483,0.79064,0.264665,0.75169,0.637572,-0.168613,-0.00585876,0.438585,0.614027,0.0311609,0.984683,0.0238976,0.167258,-0.0430604,
0.0916667, -0.104703,0.622844,-0.86872,-0.0241844,0.0399788,0.0854487,1.91142,-0.495305,-3.14572,0.0115544,0.071354,-0.0817101,0.0711943,1.01916,0.179527,0.947659,0.096044,0.241402,-0.185588,0.0657955,1.14911,0.422625,0.951149,0.198068,0.128491,-0.198936,0.179378,0.83282,0.462814,0.645927,-0.48268,0.485145,-0.338278,0.329005,0.788722,0.34486,0.885159,0.282191,0.291419,-0.227897,0.427125,0.79001,0.265069,0.752763,0.636658,-0.167236,-0.00682283,0.438526,0.614008,0.03104,0.984677,0.0231687,0.167241,-0.0436425,
0.116667, -0.073829,0.606761,-0.714797,-0.0313471,0.0413108,0.0868771,1.79298,-0.579177,-2.78792,0.0252406,0.0634977,-0.0837494,0.0711844,1.01935,0.179558,0.947651,0.0967475,0.241451,-0.185198,0.0659278,1.14889,0.422816,0.950899,0.199123,0.127747,-0.199554,0.17781,0.8318,0.464202,0.645349,-0.482882,0.484269,-0.340343,0.329077,0.7886,0.3453,0.884339,0.270649,0.296321,-0.23851,0.426961,0.789227,0.265075,0.750888,0.639259,-0.165749,-0.00657599,0.43856,0.614036,0.0309392,0.984724,0.0226339,0.166917,-0.044115,
0.141667, -0.124268,0.67344,-0.604994,-0.0367759,0.0386464,0.0865486,1.77301,-0.639939,-2.58979,0.0345853,0.0590776,-0.0855918,0.0712656,1.01951,0.179731,0.947729,0.0972491,0.241446,-0.184543,0.0656836,1.14875,0.423172,0.950576,0.200647,0.128458,-0.199109,0.177985,0.831449,0.463573,0.643943,-0.481284,0.483889,-0.345767,0.328639,0.787465,0.345042,0.884641,0.283076,0.290762,-0.229643,0.426773,0.788674,0.265315,0.752264,0.638445,-0.162563,-0.00776228,0.43869,0.614538,0.0309106,0.985151,0.0493583,0.161871,-0.0289806,
0.166667, -0.160869,0.682837,-0.453233,-0.0412372,0.0359756,0.087364,1.79708,-0.729546,-2.49356,0.0432152,0.0609094,-0.0867856,0.0713576,1.01961,0.179995,0.947744,0.0976716,0.241399,-0.184304,0.0653479,1.14852,0.423593,0.950591,0.200495,0.128128,-0.199405,0.177406,0.830992,0.464295,0.644671,-0.482199,0.485652,-0.340626,0.328611,0.786864,0.345281,0.884281,0.284169,0.291049,-0.229317,0.426565,0.788229,0.265327,0.749983,0.640749,-0.164041,-0.00750004,0.438829,0.614445,0.0310402,0.985244,0.0498841,0.161323,-0.0279506,
0.183333, -0.152237,0.757175,-0.242493,-0.0482868,0.0342694,0.0867491,1.9418,-0.830724,-2.50422,0.0528201,0.0733957,-0.0892132,0.0713386,1.01968,0.180157,0.947753,0.0979859,0.241407,-0.184083,0.065762,1.14855,0.423907,0.950004,0.202694,0.129375,-0.199174,0.177085,0.830651,0.464316,0.644134,-0.48214,0.486803,-0.34008,0.328332,0.78637,0.345257,0.884126,0.283206,0.291421,-0.230629,0.426316,0.787705,0.265372,0.748467,0.642242,-0.165082,-0.0083602,0.438696,0.613877,0.0312197,0.984806,0.0242575,0.16688,-0.0414756,
0.208333, -0.180185,0.825742,-0.221205,-0.0560163,0.0328342,0.0879264,2.10763,-0.913063,-2.57406,0.0569401,0.0871583,-0.091014,0.0712264,1.01986,0.180353,0.94784,0.0984584,0.241238,-0.183604,0.065612,1.14833,0.424061,0.950126,0.202089,0.128145,-0.199996,0.177063,0.830321,0.464208,0.643765,-0.480999,0.487767,-0.341013,0.327318,0.784576,0.345189,0.884165,0.304329,0.278975,-0.218654,0.426105,0.786888,0.265241,0.748739,0.642969,-0.161043,-0.00675376,0.438654,0.613895,0.0312548,0.984758,0.0231519,0.167086,-0.0424158,
0.225, -0.193875,0.855368,-0.24265,-0.058294,0.0327342,0.0881368,2.23672,-0.925716,-2.69965,0.0555288,0.0984699,-0.0916703,0.0712612,1.02002,0.1803,0.947496,0.0986218,0.242726,-0.183326,0.0653738,1.14846,0.424239,0.949826,0.202747,0.130163,-0.199455,0.176901,0.830322,0.464298,0.642571,-0.481812,0.489055,-0.340273,0.327733,0.785124,0.345237,0.882176,0.287128,0.29138,-0.233283,0.425431,0.786307,0.2651,0.745872,0.645638,-0.163367,-0.0117437,0.438605,0.613938,0.0312518,0.984749,0.0232446,0.167107,-0.0424894,
