Timestamp:, sensor 1 , , , , , , sensor 2 , , , , , , body 1, , , , , , , body 2, , , , , , , body 3, , , , , , , body 4, , , , , , , body 5, , , , , , , body 6, , , , , , 
0.0166667, -0.000599414,-0.0233031,-0.0152506,0.00720383,-0.00360357,4.71287e-06,-0.0422821,0.00798077,0.586775,0.000726625,-0.0019812,-0.00040479,0.812319,-0.0200666,0.0210517,0.563686,0.216135,0.611083,0.511978,0.430033,1.26881,0.0212256,0.896696,0.191589,0.210726,-0.338857,0.216543,0.354573,0.110931,0.657721,0.321465,-0.528504,-0.429822,0.487747,0.194232,0.197951,0.652692,0.0363732,-0.644367,-0.396814,0.605847,0.165043,0.222647,-0.266348,-0.415022,-0.442406,0.749061,0.81363,-0.0193206,0.0229961,0.970111,0.027848,0.236824,-0.0449786,
0.0416667, -0.00333931,-0.0526306,-0.110006,0.00776482,-0.00316777,-0.000759039,-0.0423997,0.0106195,0.540732,9.97605e-05,-0.00217014,-0.00118956,0.812646,-0.0182599,0.0219116,0.55454,0.207003,0.611524,0.525047,0.430033,1.26881,0.0212256,0.896696,0.191589,0.210726,-0.338857,0.216543,0.354573,0.110931,0.657721,0.321465,-0.528504,-0.429822,0.487747,0.194232,0.197951,0.652692,0.0363732,-0.644367,-0.396814,0.605847,0.165043,0.222647,-0.266348,-0.415022,-0.442406,0.749061,0.81363,-0.0193206,0.0229961,0.970111,0.027848,0.236824,-0.0449786,
0.0583333, 0.000963221,-0.0407846,-0.0120403,0.00809984,-0.0033998,-0.000659959,-0.0422623,0.0168201,0.542265,1.3991e-05,-0.00229031,-0.00107038,0.811565,-0.0173701,0.0211988,0.541071,0.197982,0.611391,0.542445,0.430033,1.26881,0.0212256,0.896696,0.191589,0.210726,-0.338857,0.216543,0.354573,0.110931,0.657721,0.321465,-0.528504,-0.429822,0.487747,0.194232,0.197951,0.652692,0.0363732,-0.644367,-0.396814,0.605847,0.165043,0.222647,-0.266348,-0.415022,-0.442406,0.749061,0.81363,-0.0193206,0.0229961,0.970111,0.027848,0.236824,-0.0449786,
0.0833333, -0.00178827,-0.0199478,-0.000139243,0.00756082,-0.00332397,-0.00049263,-0.0494968,0.020811,0.581516,0.000137054,-0.00264532,-0.000918489,0.811759,-0.017384,0.0211313,0.540867,0.197727,0.610679,0.543543,0.430033,1.26881,0.0212256,0.896696,0.191589,0.210726,-0.338857,0.216543,0.354573,0.110931,0.657721,0.321465,-0.528504,-0.429822,0.487747,0.194232,0.197951,0.652692,0.0363732,-0.644367,-0.396814,0.605847,0.165043,0.222647,-0.266348,-0.415022,-0.442406,0.749061,0.81363,-0.0193206,0.0229961,0.970111,0.027848,0.236824,-0.0449786,
0.1, -0.0148677,-0.0213138,-0.0180396,0.0067668,-0.00407788,-0.000606684,-0.0287278,0.0156257,0.614052,0.000656134,-0.00220417,-0.000908901,0.812092,-0.0199311,0.0196652,0.568162,0.220386,0.604983,0.512462,0.430033,1.26881,0.0212256,0.896696,0.191589,0.210726,-0.338857,0.216543,0.354573,0.110931,0.657721,0.321465,-0.528504,-0.429822,0.487747,0.194232,0.197951,0.652692,0.0363732,-0.644367,-0.396814,0.605847,0.165043,0.222647,-0.266348,-0.415022,-0.442406,0.749061,0.81363,-0.0193206,0.0229961,0.970111,0.027848,0.236824,-0.0449786,
0.116667, 0.0169116,-0.0224191,-0.00168245,0.00813312,-0.00388775,-0.000666048,-0.032742,0.018188,0.620055,0.000428707,-0.0023395,-5.12732e-05,0.812874,-0.0195066,0.0233524,0.559231,0.209727,0.610298,0.520396,0.430033,1.26881,0.0212256,0.896696,0.191589,0.210726,-0.338857,0.216543,0.354573,0.110931,0.657721,0.321465,-0.528504,-0.429822,0.487747,0.194232,0.197951,0.652692,0.0363732,-0.644367,-0.396814,0.605847,0.165043,0.222647,-0.266348,-0.415022,-0.442406,0.749061,0.81363,-0.0193206,0.0229961,0.970111,0.027848,0.236824,-0.0449786,
0.141667, -0.00232539,-0.033655,-0.0284531,0.00728065,-0.00296011,-0.000680868,-0.0432578,0.0308908,0.585523,0.000382413,-0.00275503,-0.00056637,0.811583,-0.0173591,0.0213973,0.540652,0.197284,0.611551,0.542936,0.430033,1.26881,0.0212256,0.896696,0.191589,0.210726,-0.338857,0.216543,0.354573,0.110931,0.657721,0.321465,-0.528504,-0.429822,0.487747,0.194232,0.197951,0.652692,0.0363732,-0.644367,-0.396814,0.605847,0.165043,0.222647,-0.266348,-0.415022,-0.442406,0.749061,0.81363,-0.0193206,0.0229961,0.970111,0.027848,0.236824,-0.0449786,
0.158333, 0.00749979,-0.0348505,-0.0627008,0.00882732,-0.00360582,-0.000441135,-0.0522411,0.00865967,0.54133,-0.000345843,-0.0024166,-0.00112724,0.811768,-0.0171912,0.021208,0.540556,0.19787,0.610172,0.544369,0.430033,1.26881,0.0212256,0.896696,0.191589,0.210726,-0.338857,0.216543,0.354573,0.110931,0.657721,0.321465,-0.528504,-0.429822,0.487747,0.194232,0.197951,0.652692,0.0363732,-0.644367,-0.396814,0.605847,0.165043,0.222647,-0.266348,-0.415022,-0.442406,0.749061,0.81363,-0.0193206,0.0229961,0.970111,0.027848,0.236824,-0.0449786,
0.183333, -0.0219939,-0.0318462,-0.00533411,0.0078351,-0.00317071,-0.000614181,-0.0510333,-0.000460402,0.543939,0.000269334,-0.00270151,-0.00143826,0.811805,-0.017351,0.0210713,0.541164,0.197463,0.611102,0.542867,0.430033,1.26881,0.0212256,0.896696,0.191589,0.210726,-0.338857,0.216543,0.354573,0.110931,0.657721,0.321465,-0.528504,-0.429822,0.487747,0.194232,0.197951,0.652692,0.0363732,-0.644367,-0.396814,0.605847,0.165043,0.222647,-0.266348,-0.415022,-0.442406,0.749061,0.81363,-0.0193206,0.0229961,0.970111,0.027848,0.236824,-0.0449786,
0.2, 0.00424752,-0.0246379,-0.0495984,0.00827845,-0.00382415,-0.000142122,-0.0494519,0.0125027,0.542305,-0.000284448,-0.00257906,-0.00135129,0.812002,-0.0197679,0.0221984,0.56168,0.212966,0.607669,0.519518,0.430033,1.26881,0.0212256,0.896696,0.191589,0.210726,-0.338857,0.216543,0.354573,0.110931,0.657721,0.321465,-0.528504,-0.429822,0.487747,0.194232,0.197951,0.652692,0.0363732,-0.644367,-0.396814,0.605847,0.165043,0.222647,-0.266348,-0.415022,-0.442406,0.749061,0.81363,-0.0193206,0.0229961,0.970111,0.027848,0.236824,-0.0449786,
0.225, -0.0147116,-0.0239293,-0.0779463,0.00789777,-0.00306705,-0.000932217,-0.0475882,0.0171577,0.5997,0.000339287,-0.00260029,-0.00098114,0.811794,-0.0172512,0.021101,0.54108,0.197355,0.611213,0.542865,0.430033,1.26881,0.0212256,0.896696,0.191589,0.210726,-0.338857,0.216543,0.354573,0.110931,0.657721,0.321465,-0.528504,-0.429822,0.487747,0.194232,0.197951,0.652692,0.0363732,-0.644367,-0.396814,0.605847,0.165043,0.222647,-0.266348,-0.415022,-0.442406,0.749061,0.81363,-0.0193206,0.0229961,0.970111,0.027848,0.236824,-0.0449786,
0.241667, -0.029912,-0.0393834,-0.109068,0.00726183,-0.00319465,-0.000467057,-0.0422626,0.0119449,0.618432,0.000440809,-0.00284787,-0.00131993,0.812646,-0.0184983,0.0209148,0.558075,0.212873,0.609578,0.521203,0.430033,1.26881,0.0212256,0.896696,0.191589,0.210726,-0.338857,0.216543,0.354573,0.110931,0.657721,0.321465,-0.528504,-0.429822,0.487747,0.194232,0.197951,0.652692,0.0363732,-0.644367,-0.396814,0.605847,0.165043,0.222647,-0.266348,-0.415022,-0.442406,0.749061,0.81363,-0.0193206,0.0229961,0.970111,0.027848,0.236824,-0.0449786,
0.258333, -0.0387309,-0.0537387,-0.0335365,0.00700418,-0.00286703,-0.000656494,-0.052507,0.0170093,0.635893,0.000668573,-0.00231393,-0.000918615,0.811867,-0.0173996,0.0210936,0.541489,0.19676,0.610012,0.544023,0.430033,1.26881,0.0212256,0.896696,0.191589,0.210726,-0.338857,0.216543,0.354573,0.110931,0.657721,0.321465,-0.528504,-0.429822,0.487747,0.194232,0.197951,0.652692,0.0363732,-0.644367,-0.396814,0.605847,0.165043,0.222647,-0.266348,-0.415022,-0.442406,0.749061,0.81363,-0.0193206,0.0229961,0.970111,0.027848,0.236824,-0.0449786,
0.283333, -0.0295455,-0.030612,0.00095843,0.00653111,-0.00376689,-0.000329792,-0.0582173,0.0174125,0.581019,0.000294009,-0.00265259,-0.000901288,0.81178,-0.0174736,0.0211623,0.541094,0.197423,0.611169,0.542875,0.430033,1.26881,0.0212256,0.896696,0.191589,0.210726,-0.338857,0.216543,0.354573,0.110931,0.657721,0.321465,-0.528504,-0.429822,0.487747,0.194232,0.197951,0.652692,0.0363732,-0.644367,-0.396814,0.605847,0.165043,0.222647,-0.266348,-0.415022,-0.442406,0.749061,0.81363,-0.0193206,0.0229961,0.970111,0.027848,0.236824,-0.0449786,
0.3, 0.00113795,-0.0173004,-0.0259823,0.00706826,-0.003869,-0.000113214,-0.0417868,0.0031012,0.593761,0.000173884,-0.00239677,-0.000929433,0.811662,-0.0174687,0.021212,0.540787,0.19752,0.611388,0.5429,0.430033,1.26881,0.0212256,0.896696,0.191589,0.210726,-0.338857,0.216543,0.354573,0.110931,0.657721,0.321465,-0.528504,-0.429822,0.487747,0.194232,0.197951,0.652692,0.0363732,-0.644367,-0.396814,0.605847,0.165043,0.222647,-0.266348,-0.415022,-0.442406,0.749061,0.81363,-0.0193206,0.0229961,0.970111,0.027848,0.236824,-0.0449786,
