Timestamp:, sensor 1 , , , , , , sensor 2 , , , , , , body 1, , , , , , , body 2, , , , , , , body 3, , , , , , , body 4, , , , , , , body 5, , , , , , , body 6, , , , , , 
0.025, -0.552583,-10.7142,-13.2769,0.469733,-0.0618909,0.0361526,-2.24043,-7.86982,-6.53378,0.602048,-0.109992,0.100351,0.360862,1.37554,-0.244023,0.942095,0.0812652,0.324474,-0.0238888,0.35211,1.41099,-0.0452634,0.930486,0.0333966,0.357957,-0.0703398,0.304513,1.06928,0.0228275,0.884914,0.312596,-0.0594087,-0.34012,0.473805,1.0145,-0.110393,0.85257,0.0708008,-0.281206,-0.434781,0.564881,0.97983,-0.1574,0.805563,0.389154,-0.418552,-0.156338,0.529355,0.832945,-0.34449,0.996304,-0.0118184,0.0554336,-0.0645506,
0.0416667, -0.546297,-10.7472,-13.2754,0.475077,-0.0611372,0.035693,-2.25567,-7.88822,-6.61495,0.603805,-0.110886,0.101922,0.360745,1.37561,-0.243941,0.942159,0.0810166,0.324305,-0.0244725,0.35211,1.41099,-0.0452634,0.930486,0.0333966,0.357957,-0.0703398,0.304491,1.06942,0.0229329,0.884888,0.313211,-0.0600788,-0.339505,0.474308,1.01469,-0.10937,0.854725,0.0735183,-0.297856,-0.418714,0.564699,0.979837,-0.157247,0.805495,0.389068,-0.418827,-0.156166,0.529285,0.832975,-0.344436,0.996257,-0.0118831,0.055669,-0.0650603,
0.0666667, -0.56548,-10.742,-13.293,0.476741,-0.0629834,0.0338256,-2.26117,-7.90722,-6.56492,0.605025,-0.110087,0.10041,0.360581,1.3756,-0.243752,0.942233,0.0812036,0.323998,-0.0250477,0.35211,1.41099,-0.0452634,0.930486,0.0333966,0.357957,-0.0703398,0.304334,1.06931,0.022963,0.885054,0.312792,-0.0593468,-0.339586,0.474013,1.01472,-0.109809,0.853265,0.0725938,-0.290061,-0.42724,0.564494,0.979902,-0.157359,0.804408,0.389879,-0.419752,-0.157262,0.529086,0.833036,-0.344251,0.996278,-0.0120117,0.0554829,-0.0648704,
0.0833333, -0.528279,-10.7526,-13.1462,0.481787,-0.0669559,0.0327909,-2.26078,-7.8807,-6.56802,0.601589,-0.111178,0.0984859,0.360479,1.37565,-0.243649,0.942192,0.080973,0.324209,-0.0246097,0.35211,1.41099,-0.0452634,0.930486,0.0333966,0.357957,-0.0703398,0.304272,1.06944,0.023052,0.885284,0.312817,-0.0586042,-0.339092,0.473844,1.01471,-0.109701,0.853253,0.0725628,-0.290378,-0.427054,0.564391,0.979907,-0.157098,0.806005,0.388075,-0.417904,-0.158461,0.529065,0.833119,-0.344384,0.996215,-0.0121987,0.0560363,-0.0653203,
0.108333, -0.545731,-10.7695,-13.1868,0.481427,-0.0667339,0.0338032,-2.2609,-7.82389,-6.56798,0.596258,-0.111028,0.0985112,0.360219,1.37573,-0.24365,0.94192,0.0826263,0.324581,-0.0246199,0.35211,1.41099,-0.0452634,0.930486,0.0333966,0.357957,-0.0703398,0.304158,1.06937,0.0231575,0.885163,0.313073,-0.058904,-0.33912,0.473699,1.01464,-0.109601,0.853861,0.0721867,-0.291611,-0.425057,0.56441,0.979893,-0.157076,0.805944,0.38879,-0.418187,-0.156258,0.528934,0.833141,-0.344294,0.996253,-0.0119186,0.0561017,-0.0647385,
0.125, -0.547718,-10.7806,-13.2447,0.482004,-0.0677755,0.0345252,-2.23908,-7.80551,-6.56798,0.594026,-0.110745,0.0987532,0.360228,1.37553,-0.243527,0.941877,0.0816507,0.324886,-0.0254903,0.35211,1.41099,-0.0452634,0.930486,0.0333966,0.357957,-0.0703398,0.304136,1.06935,0.0232863,0.884839,0.314163,-0.0593719,-0.338875,0.473474,1.01456,-0.109745,0.852845,0.0721912,-0.286978,-0.430219,0.564248,0.979838,-0.157072,0.805654,0.38869,-0.418508,-0.157138,0.528856,0.833127,-0.344334,0.996268,-0.0115639,0.0559656,-0.0646809,
0.141667, -0.58622,-10.7545,-13.207,0.478932,-0.0655629,0.0345117,-2.22154,-7.84164,-6.52904,0.59679,-0.10963,0.0992283,0.360118,1.37552,-0.243264,0.942137,0.0807969,0.324442,-0.0242453,0.35211,1.41099,-0.0452634,0.930486,0.0333966,0.357957,-0.0703398,0.304014,1.06911,0.0232875,0.884911,0.313329,-0.0594019,-0.339454,0.473435,1.01456,-0.109674,0.852856,0.0719827,-0.286427,-0.430598,0.564264,0.979847,-0.156914,0.805507,0.389307,-0.418376,-0.156715,0.528792,0.833147,-0.344297,0.996266,-0.0116421,0.0560709,-0.0646176,
0.166667, -0.559088,-10.732,-13.2746,0.473642,-0.0617622,0.0360112,-2.25338,-7.86199,-6.5427,0.599773,-0.109441,0.0990541,0.359957,1.37553,-0.243121,0.941955,0.0818952,0.324747,-0.0235449,0.35211,1.41099,-0.0452634,0.930486,0.0333966,0.357957,-0.0703398,0.304067,1.06938,0.0235022,0.885157,0.313524,-0.0601624,-0.338497,0.473348,1.01454,-0.109655,0.853054,0.0720051,-0.286253,-0.430317,0.564099,0.97987,-0.156934,0.805637,0.389328,-0.418105,-0.156717,0.528685,0.833221,-0.344292,0.996254,-0.0115372,0.0559956,-0.0648841,
0.183333, -0.560552,-10.7258,-13.2755,0.472656,-0.0629127,0.0362697,-2.23698,-7.83179,-6.49061,0.601024,-0.109238,0.098803,0.359932,1.37576,-0.242901,0.942239,0.0791517,0.324514,-0.024714,0.35211,1.41099,-0.0452634,0.930486,0.0333966,0.357957,-0.0703398,0.303939,1.06925,0.0234961,0.885002,0.314302,-0.0580733,-0.338545,0.473296,1.01455,-0.109596,0.853014,0.0726498,-0.287075,-0.429741,0.564033,0.9799,-0.15694,0.80569,0.389265,-0.417991,-0.156907,0.528572,0.833256,-0.344313,0.996247,-0.0114593,0.056481,-0.0645772,
0.208333, -0.59392,-10.7433,-13.3912,0.472446,-0.0630336,0.0371825,-2.23971,-7.8051,-6.49443,0.599418,-0.108023,0.0982959,0.359779,1.37571,-0.242726,0.942058,0.0797124,0.324885,-0.0249406,0.35211,1.41099,-0.0452634,0.930486,0.0333966,0.357957,-0.0703398,0.303825,1.0689,0.0235556,0.884571,0.313977,-0.0586965,-0.339863,0.473158,1.01448,-0.109575,0.853072,0.0719332,-0.285695,-0.430665,0.563839,0.979878,-0.156946,0.806184,0.38849,-0.417529,-0.157521,0.528375,0.833219,-0.344286,0.996236,-0.0116778,0.0564828,-0.0647028,
